lead_id,canonical_anchors,status,decision,reason,candidate_id,catalog_action,family_id
L0192,CHAPTERS/03-The-World-of-Simple-Programs.md:L465-466[U000538],WEAK,image-only-example,Image illustrates cyclic-tag behavior without defining it,,not-serious-candidate,not-applicable
L0193,CHAPTERS/03-The-World-of-Simple-Programs.md:L475-476[U000543];CHAPTERS/03-The-World-of-Simple-Programs.md:L487-488[U000549],SERIOUS,register-machine,Increment and conditional decrement-jump form a distinct mechanic,C073,T19:retain-family,F048
L0194,CHAPTERS/03-The-World-of-Simple-Programs.md:L487-488[U000549],WEAK,image-only-example,Image illustrates register machines without defining one,,not-serious-candidate,not-applicable
L0195,CHAPTERS/03-The-World-of-Simple-Programs.md:L493-494[U000552],RESOLVED,register-machine-preset,Fixed instruction sequences are executable register-machine presets,,not-serious-candidate,not-applicable
L0196,CHAPTERS/03-The-World-of-Simple-Programs.md:L497-498[U000554],WEAK,register-machine-behavior,Program-length survey reports behavior without a construction,,not-serious-candidate,not-applicable
L0197,CHAPTERS/03-The-World-of-Simple-Programs.md:L499-500[U000555],WEAK,register-machine-behavior,Nested behavior is an observed program property,,not-serious-candidate,not-applicable
L0198,CHAPTERS/03-The-World-of-Simple-Programs.md:L505-506[U000558];CHAPTERS/03-The-World-of-Simple-Programs.md:L507-508[U000559],WEAK,register-machine-behavior,Program-length survey reports behavior without a construction,,not-serious-candidate,not-applicable
L0199,CHAPTERS/03-The-World-of-Simple-Programs.md:L509-510[U000560],RESOLVED,register-machine-preset,The eight-instruction example routes to a register-machine preset,,not-serious-candidate,not-applicable
L0200,CHAPTERS/03-The-World-of-Simple-Programs.md:L509-510[U000560],RESOLVED,register-machine-preset,Duplicate eight-instruction register-machine preset,,not-serious-candidate,not-applicable
L0201,CHAPTERS/03-The-World-of-Simple-Programs.md:L519-520[U000565],RESOLVED,multi-register-machine,Additional registers are a register-machine parameter preset,,not-serious-candidate,not-applicable
L0202,CHAPTERS/03-The-World-of-Simple-Programs.md:L521-522[U000566],SERIOUS,register-machine,Two-register arithmetic and comparison add distinct instructions,C073,T19:retain-family,F048
L0203,CHAPTERS/03-The-World-of-Simple-Programs.md:L531-532[U000571],SERIOUS,symbolic-expression-rewriting,Pattern-directed expression rewriting is a distinct mechanic,C089,T20:retain-family,F052
L0204,CHAPTERS/03-The-World-of-Simple-Programs.md:L531-532[U000571];CHAPTERS/03-The-World-of-Simple-Programs.md:L535-536[U000573];CHAPTERS/03-The-World-of-Simple-Programs.md:L541-542[U000576];CHAPTERS/03-The-World-of-Simple-Programs.md:L543-544[U000577];CHAPTERS/03-The-World-of-Simple-Programs.md:L545-546[U000578];CHAPTERS/03-The-World-of-Simple-Programs.md:L547-548[U000579],RESOLVED,symbolic-expression-rewriting,Duplicate route to the same symbolic rewriting mechanic,,not-serious-candidate,not-applicable
L0205,CHAPTERS/03-The-World-of-Simple-Programs.md:L539-540[U000575];CHAPTERS/03-The-World-of-Simple-Programs.md:L541-542[U000576];CHAPTERS/03-The-World-of-Simple-Programs.md:L543-544[U000577];CHAPTERS/03-The-World-of-Simple-Programs.md:L545-546[U000578];CHAPTERS/03-The-World-of-Simple-Programs.md:L547-548[U000579],RESOLVED,symbolic-bracket-renderer,Bracket colors are a rendering of symbolic expressions,,not-serious-candidate,not-applicable
L0206,CHAPTERS/03-The-World-of-Simple-Programs.md:L541-542[U000576];CHAPTERS/03-The-World-of-Simple-Programs.md:L543-544[U000577];CHAPTERS/03-The-World-of-Simple-Programs.md:L545-546[U000578];CHAPTERS/03-The-World-of-Simple-Programs.md:L547-548[U000579];CHAPTERS/03-The-World-of-Simple-Programs.md:L549-550[U000580];CHAPTERS/03-The-World-of-Simple-Programs.md:L551-552[U000581],WEAK,image-only-example,Image illustrates symbolic evolution without defining it,,not-serious-candidate,not-applicable
L0207,CHAPTERS/03-The-World-of-Simple-Programs.md:L553-554[U000582];CHAPTERS/03-The-World-of-Simple-Programs.md:L555-556[U000583],WEAK,symbolic-system-behavior,Non-stabilizing behavior is an observed property,,not-serious-candidate,not-applicable
L0208,CHAPTERS/03-The-World-of-Simple-Programs.md:L555-556[U000583];CHAPTERS/03-The-World-of-Simple-Programs.md:L557-558[U000584],WEAK,image-only-example,Image illustrates symbolic-system behavior without defining it,,not-serious-candidate,not-applicable
L0209,CHAPTERS/03-The-World-of-Simple-Programs.md:L591-592[U000601];CHAPTERS/03-The-World-of-Simple-Programs.md:L593-594[U000602],WEAK,image-only-example,Image alone does not specify a distinct construction,,not-serious-candidate,not-applicable
L0210,CHAPTERS/03-The-World-of-Simple-Programs.md:L649-650[U000630],WEAK,ca-discovery-history,Personal discovery narrative is not a construction,,not-serious-candidate,not-applicable
L0211,CHAPTERS/03-The-World-of-Simple-Programs.md:L651-652[U000631],WEAK,ca-discovery-history,Personal discovery narrative is not a construction,,not-serious-candidate,not-applicable
L0212,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L7-8[U005322];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L9-10[U005323],RESOLVED,ca-rule-equivalence,Reflection and color inversion route to rule aliases,,not-serious-candidate,not-applicable
L0213,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L11-12[U005324],RESOLVED,elementary-ca-preset,Rule 51 complement is an elementary CA preset,,not-serious-candidate,not-applicable
L0214,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L11-12[U005324],RESOLVED,elementary-ca-preset,Rule 170 left shift is an elementary CA preset,,not-serious-candidate,not-applicable
L0215,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L11-12[U005324],RESOLVED,elementary-ca-preset,Rule 204 identity is an elementary CA preset,,not-serious-candidate,not-applicable
L0216,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L11-12[U005324],RESOLVED,elementary-ca-preset,Rule 240 right shift is an elementary CA preset,,not-serious-candidate,not-applicable
L0217,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L13-14[U005325];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L15-81[U005326],RESOLVED,ca-boolean-rule,Boolean formulas encode elementary CA lookup rules,,not-serious-candidate,not-applicable
L0218,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L15-81[U005326];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L88-89[U005330],RESOLVED,ca-boolean-rule,Boolean rule table routes to elementary CA encodings,,not-serious-candidate,not-applicable
L0219,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L15-81[U005326];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L90-91[U005331],RESOLVED,ca-boolean-rule,Boolean rule table routes to elementary CA encodings,,not-serious-candidate,not-applicable
L0220,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L15-81[U005326];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L92-93[U005332],RESOLVED,ca-boolean-rule,Boolean rule table routes to elementary CA encodings,,not-serious-candidate,not-applicable
L0221,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L15-81[U005326];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L94-95[U005333],RESOLVED,ca-boolean-rule,Boolean rule table routes to elementary CA encodings,,not-serious-candidate,not-applicable
L0222,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L15-81[U005326];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L96-97[U005334];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L102-103[U005337],RESOLVED,ca-boolean-rule,Boolean rule table routes to elementary CA encodings,,not-serious-candidate,not-applicable
L0223,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L15-81[U005326];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L98-99[U005335],RESOLVED,ca-boolean-rule,Boolean rule table routes to elementary CA encodings,,not-serious-candidate,not-applicable
L0224,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L15-81[U005326];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L119-120[U005344],RESOLVED,ca-boolean-rule,Boolean rule table routes to elementary CA encodings,,not-serious-candidate,not-applicable
L0225,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L15-81[U005326];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L121-122[U005345],RESOLVED,ca-boolean-rule,Boolean rule table routes to elementary CA encodings,,not-serious-candidate,not-applicable
L0226,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L15-81[U005326];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L123-124[U005346],RESOLVED,ca-boolean-rule,Boolean rule table routes to elementary CA encodings,,not-serious-candidate,not-applicable
L0227,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L102-103[U005337];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L104-108[U005338],RESOLVED,additive-ca-preset,Rule 150 is a modulo-two additive CA preset,,not-serious-candidate,not-applicable
L0228,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L109-110[U005339],WEAK,ca-fractal-dimension,Black-cell count and dimension are observed properties,,not-serious-candidate,not-applicable
L0229,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L111-112[U005340],RESOLVED,ca-coordinate-evaluator,Closed formula evaluates a specified CA column,,not-serious-candidate,not-applicable
L0230,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L111-112[U005340],RESOLVED,ca-coordinate-evaluator,Duplicate closed-form CA column evaluator,,not-serious-candidate,not-applicable
L0231,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L135-136[U005352];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L137-138[U005353];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L139-140[U005354];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L141-142[U005355];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L143-144[U005356];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L149-152[U005359],SERIOUS,synchronous-local-state-automaton,Staggered cells with two-input neighborhoods form a distinct CA geometry,C090,T01:retain-family;T02:retain-preset;T03:retain-preset;T04:retain-preset;T05:merge;T06:retain-preset;T07:retain-preset;T21:retain-preset;T22:retain-preset;T23:retain-preset;T24:retain-preset;T44:alias,F053
L0232,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L143-144[U005356];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L145-146[U005357],RESOLVED,two-cell-ca-rule-encoding,Base-k digits encode the two-cell-neighborhood rule table,,not-serious-candidate,not-applicable
L0233,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L145-146[U005357],WEAK,image-only-example,Image illustrates two-cell-neighborhood CA behavior,,not-serious-candidate,not-applicable
L0234,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L145-146[U005357],WEAK,image-only-example,Image illustrates two-cell-neighborhood CA behavior,,not-serious-candidate,not-applicable
L0235,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L145-146[U005357],WEAK,image-only-example,Image illustrates two-cell-neighborhood CA behavior,,not-serious-candidate,not-applicable
L0236,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L145-146[U005357],WEAK,image-only-example,Image illustrates two-cell-neighborhood CA behavior,,not-serious-candidate,not-applicable
L0237,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L145-146[U005357],WEAK,image-only-example,Image illustrates two-cell-neighborhood CA behavior,,not-serious-candidate,not-applicable
L0238,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L145-146[U005357],WEAK,image-only-example,Image illustrates two-cell-neighborhood CA behavior,,not-serious-candidate,not-applicable
L0239,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L145-146[U005357],WEAK,image-only-example,Image illustrates two-cell-neighborhood CA behavior,,not-serious-candidate,not-applicable
L0240,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L145-146[U005357],WEAK,image-only-example,Image illustrates two-cell-neighborhood CA behavior,,not-serious-candidate,not-applicable
L0241,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L153-154[U005360];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L157-161[U005362],RESOLVED,ca-rule-count,Formula counts rules from colors and neighborhood radius,,not-serious-candidate,not-applicable
L0242,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L164-165[U005364];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L166-170[U005365];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L173-177[U005367];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L180-185[U005369],RESOLVED,totalistic-ca-executor,Code directly implements multicolor totalistic CA evolution,,not-serious-candidate,not-applicable
L0243,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L188-189[U005371],RESOLVED,additive-ca-preset,Code 420 is a modulo-three additive CA preset,,not-serious-candidate,not-applicable
L0244,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L190-191[U005372],SERIOUS,synchronous-local-state-automaton,Sequentially composing CA rules defines a distinct update construction,C090,T01:retain-family;T02:retain-preset;T03:retain-preset;T04:retain-preset;T05:merge;T06:retain-preset;T07:retain-preset;T21:retain-preset;T22:retain-preset;T23:retain-preset;T24:retain-preset;T44:alias,F053
L0245,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L192-193[U005373];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L194-197[U005374];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L198-199[U005375],SERIOUS,synchronous-local-state-automaton,A finite algebra operation used as the local rule defines a distinct family,C090,T01:retain-family;T02:retain-preset;T03:retain-preset;T04:retain-preset;T05:merge;T06:retain-preset;T07:retain-preset;T21:retain-preset;T22:retain-preset;T23:retain-preset;T24:retain-preset;T44:alias,F053
L0246,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L200-201[U005376];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L202-203[U005377],RESOLVED,algebraic-ca-preset,Signed-unit multiplication is an algebraic CA preset,,not-serious-candidate,not-applicable
L0247,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L200-201[U005376];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L204-205[U005378],RESOLVED,algebraic-ca-preset,Complex-unit multiplication is an algebraic CA preset,,not-serious-candidate,not-applicable
L0248,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L200-201[U005376];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L206-207[U005379],RESOLVED,algebraic-ca-preset,Quaternion-unit multiplication is an algebraic CA preset,,not-serious-candidate,not-applicable
L0249,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L208-209[U005380];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L210-211[U005381],RESOLVED,algebraic-ca-rule-table,A finite multiplication table encodes an algebraic CA rule,,not-serious-candidate,not-applicable
L0250,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L208-209[U005380];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L212-213[U005382],RESOLVED,algebraic-ca-rule-table,Duplicate multiplication-table rule encoding,,not-serious-candidate,not-applicable
L0251,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L214-215[U005383];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L218-219[U005385];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L220-224[U005386];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L225-226[U005387],WEAK,image-only-example,Image illustrates an algebraic CA without defining it,,not-serious-candidate,not-applicable
L0252,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L229-230[U005389];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L239-244[U005392];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L247-251[U005394],RESOLVED,mobile-automaton-executor,State pair and step code implement mobile-automaton evolution,,not-serious-candidate,not-applicable
L0253,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L231-236[U005390],RESOLVED,mobile-automaton-preset,Explicit lookup table is a mobile-automaton preset,,not-serious-candidate,not-applicable
L0254,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L254-255[U005396];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L256-262[U005397];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L265-270[U005399],RESOLVED,mobile-automaton-preset,Explicit page example routes to a mobile-automaton preset,,not-serious-candidate,not-applicable
L0255,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L283-284[U005406];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L285-291[U005407],RESOLVED,generalized-mobile-automaton-executor,State and step code implement generalized mobile automata,,not-serious-candidate,not-applicable
L0256,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L294-295[U005409];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L305-310[U005413];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L313-317[U005415];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L320-326[U005417];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L329-333[U005419],RESOLVED,turing-machine-executor,State triple and step code implement Turing-machine evolution,,not-serious-candidate,not-applicable
L0257,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L296-300[U005410];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L301-302[U005411],RESOLVED,turing-machine-preset,Explicit transition table is a Turing-machine preset,,not-serious-candidate,not-applicable
L0258,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L336-337[U005421];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L338-343[U005422],RESOLVED,turing-machine-numbering,Numbering scheme encodes and decodes Turing-machine rules,,not-serious-candidate,not-applicable
L0259,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L346-347[U005424],RESOLVED,turing-machine-preset,Base-two counter behavior routes to a Turing-machine preset,,not-serious-candidate,not-applicable
L0260,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L356-357[U005429];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L358-359[U005430];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L360-361[U005431];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L362-363[U005432];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L364-365[U005433];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L366-367[U005434],WEAK,turing-localized-structure-property,Localized structures are observed behavior,,not-serious-candidate,not-applicable
L0261,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L372-373[U005437];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L376-377[U005439],WEAK,busy-beaver-problem,Extremal halting search is a problem statement,,not-serious-candidate,not-applicable
L0262,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L372-373[U005437];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L374-375[U005438],WEAK,busy-beaver-problem,Duplicate extremal halting problem statement,,not-serious-candidate,not-applicable
L0263,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L372-373[U005437];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L374-375[U005438],WEAK,busy-beaver-problem,Duplicate extremal halting problem statement,,not-serious-candidate,not-applicable
L0264,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L372-373[U005437];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L374-375[U005438],WEAK,busy-beaver-problem,Duplicate extremal halting problem statement,,not-serious-candidate,not-applicable
L0265,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L376-377[U005439];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L378-379[U005440],RESOLVED,turing-machine-preset,Explicit five-state candidate rule is a Turing-machine preset,,not-serious-candidate,not-applicable
L0266,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L390-391[U005446];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L392-396[U005447];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L401-405[U005450],RESOLVED,substitution-system-executor,Code implements neighbor-independent substitutions,,not-serious-candidate,not-applicable
L0267,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L406-407[U005451];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L408-411[U005452];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L414-418[U005454],RESOLVED,context-dependent-substitution-executor,Code implements neighbor-conditioned substitutions,,not-serious-candidate,not-applicable
L0268,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L423-424[U005457],RESOLVED,alternating-sequence-evaluator,Parity directly evaluates the successive-digits sequence,,not-serious-candidate,not-applicable
L0269,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L425-426[U005458];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L427-430[U005459];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L433-437[U005461],RESOLVED,thue-morse-evaluator,Digit-count formula directly evaluates the Thue-Morse sequence,,not-serious-candidate,not-applicable
L0270,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L440-441[U005463],RESOLVED,fibonacci-word-generator,Concatenation recurrence generates the Fibonacci-related word,,not-serious-candidate,not-applicable
L0271,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L442-443[U005464];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L444-447[U005465],RESOLVED,cantor-set-evaluator,Base-three digit test directly evaluates Cantor-set membership,,not-serious-candidate,not-applicable
L0272,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L452-453[U005468],RESOLVED,substitution-growth-observer,Matrix powers measure substitution-system color counts,,not-serious-candidate,not-applicable
L0273,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L454-455[U005469];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L456-460[U005470];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L467-468[U005474];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L469-470[U005475];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L471-472[U005476];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L473-474[U005477];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L475-476[U005478];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L477-478[U005479];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L479-480[U005480];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L481-482[U005481];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L483-488[U005482],RESOLVED,fibonacci-recurrence,Explicit recurrence and seeds generate Fibonacci numbers,,not-serious-candidate,not-applicable
L0274,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L491-492[U005484],RESOLVED,fibonacci-index-evaluator,Logarithmic formula estimates the Fibonacci index,,not-serious-candidate,not-applicable
L0275,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L493-494[U005485],RESOLVED,modular-fibonacci-sequence,Modulo-k Fibonacci values define a direct sequence preset,,not-serious-candidate,not-applicable
L0276,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L495-496[U005486];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L497-498[U005487],RESOLVED,modular-fibonacci-sequence,Modulo-n Fibonacci values define a direct sequence preset,,not-serious-candidate,not-applicable
L0277,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L499-500[U005488];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L501-502[U005489],WEAK,golden-ratio-history,Historical and display-default remarks are not a construction,,not-serious-candidate,not-applicable
L0278,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L519-520[U005498];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L521-522[U005499];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L523-524[U005500],RESOLVED,lucas-recurrence,Explicit recurrence and seeds generate Lucas numbers,,not-serious-candidate,not-applicable
L0279,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L525-526[U005501],RESOLVED,linear-recurrence,General linear recurrences route to recurrence execution,,not-serious-candidate,not-applicable
L0280,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L525-526[U005501],RESOLVED,linear-recurrence,Duplicate generalized linear-recurrence route,,not-serious-candidate,not-applicable
L0281,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L527-528[U005502];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L529-532[U005503],RESOLVED,substitution-digit-evaluator,Digit traversal directly evaluates fixed-length substitutions,,not-serious-candidate,not-applicable
L0282,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L529-532[U005503];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L533-534[U005504];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L535-536[U005505],RESOLVED,substitution-digit-evaluator,Fold code directly evaluates a substitution-sequence element,,not-serious-candidate,not-applicable
L0283,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L537-538[U005506],RESOLVED,generalized-digit-representation,Fibonacci-weighted digits encode variable-length substitutions,,not-serious-candidate,not-applicable
L0284,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L555-556[U005515];BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L557-558[U005516],RESOLVED,paperfolding-sequence,Paperfolding is an explicit substitution-system preset,,not-serious-candidate,not-applicable
L0285,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L565-566[U005520],RESOLVED,period-doubling-sequence,Nested list code generates the period-doubling sequence,,not-serious-candidate,not-applicable
L0286,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L567-568[U005521],RESOLVED,alternating-sequence-evaluator,Parity directly evaluates the sequence,,not-serious-candidate,not-applicable
L0287,BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes.md:L569-570[U005522],RESOLVED,period-doubling-sequence,Replacement maps to a period-doubling sequence preset,,not-serious-candidate,not-applicable
